Back,Front
Good morning,Bonjour
How are you doing?,Comment-allez vous?
To go,Aller
"present, introduce",Présente
How are you?,Comment ça va?
"girl, daughter",fille
Lesson,Leçon
First,Première
"Sir/Madam, what would you like?","Monsieur, madame, vous désirez?"
Two,Deux
Please,S'il vous plait
Prefer,Préfèr
Buttered toast,Tartine beurrée
Breakfast,Petit-déjeuner
I prefer a slice of buttered bread for breakfast.,Je préfèr un tartine beurrée pour le petit-déjeuner
So,Donc
"Yes, that's it.","Oui, c'est ça"
Me,Moi
"She, her",Elle
Butter,Le beurre
Lunch,Le déjeuner
Second,Deuxième
Actually/in fact,En fait
Let me introduce myself,Je me présente
Here is my friend,Voici mon ami
Are you (plural),Êtes-vous
Also,Aussi
Not at all,Pas du tout
In/Inside,Dans
The South of France,Le midi de la France
But now we are Parisians.,Mais maintenant nous sommes parisiens.
Now,Maintenant
Third,Troisième
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,